mcns_id,side,cell_type
11952,L,lLN2X11
11345,R,lLN2X11
11594,L,lLN2X11
12320,R,lLN2X11
10140,R,lLN1_bc
10463,L,lLN1_bc
10632,L,lLN1_bc
10905,L,lLN1_bc
11099,L,lLN1_bc
11244,R,lLN1_bc
11262,L,lLN1_bc
11281,R,lLN1_bc
11289,R,lLN1_bc
11292,L,lLN1_bc
11400,L,lLN1_bc
11478,R,lLN1_bc
11501,R,lLN1_bc
11523,L,lLN1_bc
11531,L,lLN1_bc
11620,R,lLN1_bc
11725,R,lLN1_bc
11736,R,lLN1_bc
11744,R,lLN1_bc
11783,L,lLN1_bc
11828,R,lLN1_bc
11870,L,lLN1_bc
11922,R,lLN1_bc
12111,R,lLN1_bc
12338,L,lLN1_bc
23401,L,lLN1_bc
520002,R,lLN1_bc
521935,L,lLN1_bc
524238,R,lLN1_bc
529429,L,lLN1_bc
10096,L,lLN2F_a
10254,R,lLN2F_a
10456,R,lLN2F_a
10459,L,lLN2F_a
11342,R,lLN2X04
23477,L,lLN2X04
530777,R,lLN2X04
555318,L,lLN2X04
12354,R,lLN2T_e
11379,R,lLN2T_e
11294,L,lLN2T_e
11359,L,lLN2T_e
10929,R,lLN2X03
520787,L,lLN2X03
10397,L,lLN2X03
10942,R,lLN2X03
532655,L,lLN2X03
11993,R,lLN2X05
11914,R,lLN2X05
11837,L,lLN2X05
11991,L,lLN2X05
10201,R,lLN2T_c
10650,R,lLN2T_c
11517,L,lLN2T_c
527470,L,lLN2T_c
247232,R,lLN2X12
521158,R,lLN2X12
15183,R,lLN2X12
524208,R,lLN2X12
192978,R,lLN2X12
13716,R,lLN2X12
13821,R,lLN2X12
11722,R,v2LN30
11546,L,v2LN30
10134,L,VL2a_adPN
10039,R,VL2a_adPN
14243,L,lLN2T_b
16460,R,lLN2T_b
67052,R,lLN2T_b
13431,L,lLN2T_b
11992,R,lLN1_a
11975,L,lLN1_a
18994,R,lLN2X10
17107,R,lLN2X10
13621,R,lLN2X10
10169,R,lLN2F_b
10515,R,lLN2F_b
10569,R,DC1_adPN
10522,R,VL2p_adPN
10084,R,DP1m_adPN
